股票代码,股票简称,最新价,最新涨跌幅,预告净利润[20240630],业绩预告类型[20240630],上年同期净利润[20240630],预告净利润变动幅度[20240630],业绩预告日期[20240630],业绩变化原因[20240630],业绩预告摘要[20240630],预告净利润上限[20240630],预告净利润下限[20240630],market_code,code
688484.SH,南芯科技,35.90,1.470,211550700.0,大幅上升,100632300.0,110.22,20240619,　　本报告期受到终端需求回暖的影响，公司业务规模扩大，持续推出有市场竞争力的产品，公司在手订单饱满，主营业务稳健增长。,预计2024-01-01到2024-06-30业绩：净利润20255.07万元至22055.07万元;增长幅度为101.28%至119.16%;上年同期业绩:净利润10063.23万元;,220550700.0,202550700.0,17,688484
688208.SH,道通科技,24.24,2.408,390000000.0,大幅上升,189020000.0,106.325,20240703,"　　1、2024年公司聚焦汽车新能源化的发展趋势，在保持传统诊断业务竞争优势、盈利能力稳定的情况下，进一步加大新能源业务研发投入，不断增强公司产品竞争力和品牌影响力。预计2024年上半年传统诊断业务实现营业收入14.6亿元至14.7亿元，同比增长超15%；新能源充电桩业务实现营业收入3.7亿元至3.8亿元，同比增长超80%。
　　2、2024年上半年公司营业收入、归属于母公司所有者的净利润、归属于母公司所有者的扣除非经常性损益的净利润较上年同期有较大幅度增长，主要原因系：公司充分挖掘细分领域市场，巩固公司在全球诊断、检测领域的技术优势和市场优势，同时加大新能源业务市场渠道拓展，持续降本增效改善盈利。
　　3、2024年第二季度，公司完成对子公司深圳市塞防科技有限公司（以下简称“塞防科技”）5%的股权转让，对其持股比例降至46%，塞防科技不再纳入公司合并报表，由此产生的投资收益约9,900万元计入本期非经常性损益。",预计2024-01-01到2024-06-30业绩：净利润38000万元至40000万元;增长幅度为101.03%至111.62%;上年同期业绩:净利润18902万元;,400000000.0,380000000.0,17,688208
002286.SZ,保龄宝,6.48,2.047,66500000.0,大幅上升,32759200.0,102.995,20240702,"　　1.公司自2023年开始对益生元、膳食纤维、代糖产品等产线进行了工艺优化，加强成本管控，公司生产成本较去年同期相比有所下降；
　　2.2024年上半年公司主要原材料玉米、玉米淀粉价格以及蒸汽等能源采购价格较2023年同期相比有一定幅度下降；
　　3.公司调整营销策略，加强对销售差异化、高毛利产品的激励，使公司产品结构有所优化，毛利率有明显改善。","预计2024-01-01到2024-06-30业绩：净利润5800.00万元至7500.00万元;增长幅度为77.05%至128.94%,基本每股收益0.1595元至0.2038元;上年同期业绩:净利润3275.92万元,基本每股收益0.09元;",75000000.0,58000000.0,33,002286
605128.SH,上海沿浦,27.69,-3.854,61002200.0,大幅上升,31724600.0,92.29,20240702,　　公司主要生产汽车座椅骨架总成、精密冲压件、精密注塑件，2024年半年度落地量产的新项目增多，市场订单量充足，公司持续精益生产和工艺改善，不断提高产能产出，扩大经营规模，业绩相应递增。,"预计2024-01-01到2024-06-30业绩：净利润6100.22万元左右;增长幅度为92.29%左右;上年同期业绩:净利润3172.46万元,基本每股收益0.40元;",61002200.0,61002200.0,17,605128
603239.SH,浙江仙通,15.10,-3.576,91500000.0,大幅上升,53778500.0,70.14,20240702,　　随着新能源汽车行业的发展，客户订单数量持续增长，推动了公司的营业收入持续增加；公司内部不断优化产品性能及质量，使产品良品率得到提升；另外随着营业收入的增长，费用率也有所下降。,"预计2024-01-01到2024-06-30业绩：净利润8800万元至9500万元;增长幅度为63.63%至76.65%;上年同期业绩:净利润5377.85万元,基本每股收益0.2元;",95000000.0,88000000.0,17,603239
002535.SZ,林州重机,3.31,9.967,105000000.0,大幅上升,62630400.0,67.65,20240702,　　业绩变动主要原因是，报告期内，公司订单量充裕，流动资金缓解，产能增加，促使产量增加，公司营业收入增加。,"预计2024-01-01到2024-06-30业绩：净利润9500万元至11500万元;增长幅度为51.68%至83.62%,基本每股收益0.119元至0.143元;上年同期业绩:净利润6263.04万元,基本每股收益0.0781元;",115000000.0,95000000.0,33,002535
300724.SZ,捷佳伟创,58.63,7.578,1258796650.0,大幅上升,751520400.0,67.5,20240702,　　报告期内，公司订单持续验收带来收入增长。,"预计2024-01-01到2024-06-30业绩：净利润116,485.66万元至135,273.67万元,增长幅度为55.00%至80.00%,上年同期业绩:净利润75152.04万元;",1352736700.0,1164856600.0,33,300724
603228.SH,景旺电子,30.39,4.004,669785000.0,大幅上升,403879100.0,65.84,20240703,"　　（一）2024年上半年，全球宏观经济温和复苏，电子信息产品市场需求改善，公司紧抓机遇，进一步提升业务开拓效率，整体业务较好增长，实现了在不同市场高效拓展以及产品份额的不断提升，客户需求旺盛，定点项目密集交付，公司整体的产能稼动率延续一季度的增长趋势，保持较高水平。
　　（二）公司高端产品开发和重点客户导入方面取得突破性进展，成功加快价值大客户开发。同时，持续加深与众多现有国内外知名企业客户的合作，不断提升重点客户份额。高技术、高附加值的珠海金湾HLC工厂和HDI（含SLP）工厂各项业务持续推进，产量产值稳步提升，呈现出较好的竞争力。
　　（三）公司持续提升研发投入强度，运营效能持续提升，控本增效取得明显成效，使得公司收入和利润获得较大幅度的提升。","预计2024-01-01到2024-06-30业绩：净利润63789万元至70168万元;增长幅度为57.94%至73.74%;上年同期业绩:净利润40387.91万元,基本每股收益0.48元;",701680000.0,637890000.0,17,603228
002045.SZ,国光电器,12.74,0.079,104500000.0,大幅上升,64400700.0,62.265,20240629,　　公司一直沿用大客户开发战略，维护并持续深耕大客户，扩大大客户的深度合作机会。报告期内，公司销量同比增加，带动业绩增长。,"预计2024-01-01到2024-06-30业绩：净利润9700.00万元至11200.00万元;增长幅度为50.62%至73.91%,基本每股收益0.18元至0.20元;上年同期业绩:净利润6440.07万元,基本每股收益0.14元;",112000000.0,97000000.0,33,002045
300818.SZ,耐普矿机,25.03,-5.082,85000000.0,大幅上升,53334000.0,59.375,20240701,"　　1、报告期内，公司继续实施国际化发展战略，持续提升研发强度，提高运营效率，实现了收入及利润的良好增长。2024年半年度，营业收入预计较去年同比增长超55%。
　　2、2024年半年度汇兑产生的收益对公司净利润的影响约为1,022.40万元，其中第二季度为316.99万元；2023年半年度汇兑产生的收益对公司净利润的影响为3,380.90万元，其中第二季度为3,893.29万元。
　　3、报告期内，预计非经常性损益对净利润影响金额约为195万元。",预计2024-01-01到2024-06-30业绩：净利润8000万元至9000万元;增长幅度为50.00%至68.75%;上年同期业绩:净利润5333.40万元;,90000000.0,80000000.0,33,300818
002139.SZ,拓邦股份,10.72,-0.741,387061050.0,大幅上升,258040700.0,50.0,20240702,"　　2024年2季度营业收入延续了一季度增长的态势，毛利率持续提升，扣除汇兑收益影响的情况下，实现了扣非净利润同比大幅提升。
　　2024年上半年，行业景气度回暖，公司头部客户市占率及高价值产品持续提升，实现了收入和利润的双增长。家电、工具需求已恢复正常，新能源行业随着需求的恢复也在加速出清，公司以充电桩、BMS、PCS为代表的新产品已推向市场并贡献增量。
　　人工智能时代，智能控制的应用场景更加广泛，行业有望加速发展。公司积累了丰富的技术平台和产品平台，在市场化竞争时代，有产品力的公司将实现优势增长。同时公司在流程体系建设、运营方面具有成熟经验，全球化的战略布局，将助力海外市场的拓展，进一步提升市场份额，夯实头部优势。","预计2024-01-01到2024-06-30业绩：净利润36125.70万元至41286.51万元;增长幅度为40%至60%,基本每股收益0.29元至0.33元;上年同期业绩:净利润25804.07万元,基本每股收益0.20元;",412865100.0,361257000.0,33,002139
605488.SH,福莱新材,12.84,0.864,62500000.0,大幅上升,41877600.0,49.24,20240703,　　报告期内，公司受益于产业一体化优势，各业务板块收入均实现增长，同时叠加内部降本增效措施落实，公司经营业绩实现稳步增长。,"预计2024-01-01到2024-06-30业绩：净利润6000万元至6500万元;增长幅度为43.27%至55.21%;上年同期业绩:净利润4187.76万元,基本每股收益0.24元;",65000000.0,60000000.0,17,605488
688016.SH,心脉医疗,101.26,-2.003,405313100.0,预增,279526300.0,45.0,20240702,"　　报告期内，公司创新性产品Castor分支型主动脉覆膜支架及输送系统、Minos腹主动脉覆膜支架及输送系统、ReewarmPTX药物球囊扩张导管持续发力，新产品Talos®直管型胸主动脉覆膜支架系统及Fontus®分支型术中支架系统入院家数及终端植入量均增长较快，促使公司销售收入以及利润稳步增长，进一步提高了公司在主动脉及外周血管介入市场的竞争力，实现公司上半年整体销量同比快速增加，带动公司净利润同比快速增长。
　　国内市场方面，积极响应国家医疗资源持续下沉政策，公司持续开发地市级、县级医院市场。国际市场方面，公司持续推动全球范围内与区域行业领先客户的合作，持续推进主动脉及外周介入产品在欧洲、拉美、亚太等国家的市场准入和推广工作，积极推动新产品在欧洲和日本的上市前临床试验。",预计2024-01-01到2024-06-30业绩：净利润39133.68万元至41928.94万元;增长幅度为40%至50%;上年同期业绩:净利润27952.63万元;,419289400.0,391336800.0,17,688016
688516.SH,奥特维,41.84,-0.665,732452650.0,预增,522523800.0,40.175,20240620,,预计2024-01-01到2024-06-30业绩：净利润69249.01万元至77241.52万元;增长幅度为32.53%至47.82%;上年同期业绩:净利润52252.38万元;,772415200.0,692490100.0,17,688516
301580.SZ,爱迪特,67.86,-4.557,85594300.0,预增,63246900.0,35.335,20240606,"　　经公司合理测算，2024年半年度可实现的营业收入区间为43,397.22万元至47,851.91万元，与2023年同期相比变动幅度为22.25%至34.80%；2024年半年度可实现归属于母公司所有者净利润为7,665.45万元至9,453.41万元，与2023年同期相比变动幅度为21.20%至49.47%，随着公司产品知名度不断提升，营业收入逐渐增加，2024年半年度净利润相较去年同期保持稳定增长；2024年半年度可实现扣除非经常性损益后归属于母公司所有者净利润为7,534.48万元至9,322.44万元，与2023年同期相比变动幅度为33.11%至64.70%。",预计2024-01-01到2024-06-30业绩：净利润7665.45万元至9453.41万元;增长幅度为21.20%至49.47%;上年同期业绩:净利润6324.69万元;,94534100.0,76654500.0,33,301580
688789.SH,宏华数科,94.48,-4.921,197500000.0,预增,147784100.0,33.64,20240622,　　本期业绩实现增长，主要系下游行业需求稳步提升，传统印染设备逐步向数码喷印设备替代转型，公司订单增长，业务规模持续放量。2024年上半年公司积极拓展国内外客户，实现市场与业务的增长，产品销量同比提升。同时，2024年上半年汇兑收益较上年同期减少。,预计2024-01-01到2024-06-30业绩：净利润18500万元至21000万元;增长幅度为25.18%至42.10%;上年同期业绩:净利润14778.41万元;,210000000.0,185000000.0,17,688789
605098.SH,行动教育,38.98,0.257,140000000.0,预增,105419000.0,32.805,20240703,　　公司本次业绩增加的主要原因是：1）本年度公司执行大客户战略成果显著；2）公司自上市后品牌影响力持续提升，对市场产生了积极的影响；3）公司人才梯队建设卓有成效，形成了精选人才和培育人才的高质量体系，提升了业务人员的专业度，客户满意度提升。,"预计2024-01-01到2024-06-30业绩：净利润13000万元至15000万元;增长幅度为23.32%至42.29%;上年同期业绩:净利润10541.9万元,基本每股收益0.89元;",150000000.0,130000000.0,17,605098
301552.SZ,科力装备,,,76000000.0,预增,58314300.0,30.33,20240627,,预计2024-01-01到2024-06-30业绩：净利润7200万元至8000万元;增长幅度为23.47%至37.19%;上年同期业绩:净利润5831.43万元;,80000000.0,72000000.0,33,301552
301345.SZ,涛涛车业,48.91,-5.561,175000000.0,预增,134455600.0,30.155,20240625,"报告期内，公司秉承“专注新能源、引领高端、布局全球、稳健经营”的总体发展战略，加强研发投入，提高运营效率，深化品牌营销策略，加快海外产能布局，不断研发和生产出更多智能化、高端化、锂电化的产品，进一步丰富产品矩阵及拓宽销售渠道，实现了销售收入和利润的良好增长。
报告期内，预计非经常性损益对归属于上市公司股东的净利润的影响金额约280-370万元。",预计2024-01-01到2024-06-30业绩：净利润16500万元至18500万元;增长幅度为22.72%至37.59%;上年同期业绩:净利润13445.56万元;,185000000.0,165000000.0,33,301345
002444.SZ,巨星科技,24.80,-4.432,1134316250.0,预增,872551000.0,30.0,20240629,"　　1、2024年上半年，公司推出了包括电动工具、特种箱柜等在内的大量新品，使得终端市场份额明显提升；同时随着欧美通胀缓解，终端市场工具需求有所复苏；下游客户基本结束了主动去库存，整体订单恢复匹配终端市场需求。
　　2、2024年第二季度，公司营业收入同比延续了一季度的增长趋势，随着公司收入规模的不断增长，以及东南亚制造基地的投产，公司的盈利能力显著提高。","预计2024-01-01到2024-06-30业绩：净利润109068.87万元至117794.38万元;增长幅度为25.00%至35.00%,基本每股收益0.9131元至0.9862元;上年同期业绩:净利润87255.10万元,基本每股收益0.7305元;",1177943800.0,1090688700.0,33,002444
301392.SZ,汇成真空,55.88,0.885,56131550.0,预增,43856500.0,27.99,20240516,,预计2024-01-01到2024-06-30业绩：净利润5408.28万元至5818.03万元;增长幅度为23.32%至32.66%;上年同期业绩:净利润4385.65万元;,58180300.0,54082800.0,33,301392
688692.SH,达梦数据,219.60,0.503,93000000.0,预增,73346800.0,26.795,20240523,"　　主要是由于公司渠道销售体系优势逐渐显现，预计2024年1-6月销售费用率较去年同期将有所下降；扣除非经常性损益后归属于母公司股东净利润为7,800.00万元至9,200.00万元，较2023年1-6月增长17.28%至38.33%。",预计2024-01-01到2024-06-30业绩：净利润8600.00万元至10000.00万元;增长幅度为17.25%至36.34%;上年同期业绩:净利润7334.68万元;,100000000.0,86000000.0,17,688692
002204.SZ,大连重工,4.23,-1.628,280000000.0,预增,222968300.0,25.58,20240626,　　2024年上半年，公司预计归属于上市公司股东的净利润同比增长13.02%-38.14%，主要原因为：报告期内，公司营业收入预计较上年同期增长10%以上，其中主要是物料搬运设备及冶金设备产品收入同比增长明显，带动公司产品毛利上升。,"预计2024-01-01到2024-06-30业绩：净利润25200万元至30800万元;增长幅度为13.02%至38.14%,基本每股收益0.1305元至0.1595元;上年同期业绩:净利润22296.83万元,基本每股收益0.1154元;",308000000.0,252000000.0,33,002204
002475.SZ,立讯精密,38.89,-0.512,5335764250.0,预增,4355725900.0,22.5,20240425,"　　报告期内，虽全球宏观经济仍处于温和复苏的进程中，但部分行业的成长不乏亮点，其中，消费电子产品正逐步向更个性化、智能化的发展趋势演进，而数据中心光连接、电连接、散热、电源等各类硬件需求亦迅猛攀升。此外，在智能座舱应用和智能驾驶技术的持续优化下，新能源汽车不仅在国内市场取得了突破，在国际市场上也展现出了强大的竞争力。
　　在此背景下，公司积极贯彻“三个五年”发展规划，在夯实消费电子业务基本盘的前提下，动态调度内外部资源以全力支持通讯/数据中心业务和汽车业务的高质量成长，通过成熟的工艺+底层技术的能力拼图，叠加智能制造大平台优势，实现了在不同市场高效拓展以及产品份额的不断提升。","预计2024-01-01到2024-06-30业绩：净利润522687.11万元至544465.74万元;增长幅度为20%至25%,基本每股收益0.73元至0.76元;上年同期业绩:净利润435572.59万元,基本每股收益0.61元;",5444657400.0,5226871100.0,33,002475
301603.SZ,乔锋智能,,,108500000.0,预增,90000000.0,21.3,20240621,,预计2024-01-01到2024-06-30业绩：净利润10400万元至11300万元;增长幅度为16.23%至26.37%;上年同期业绩:净利润9000万元;,113000000.0,104000000.0,33,301603
600157.SH,永泰能源,1.19,-0.833,1210000000.0,预增,1012761700.0,19.475,20240627,　　公司本次业绩预增主要系报告期内得益于公司煤炭与电力业务互补经营优势，电力业务发电量同比增长、动力煤采购成本同比下降，煤炭业务保持良好利润空间所致。,"预计2024-01-01到2024-06-30业绩：净利润116000万元至126000万元;增长幅度为14.54%至24.41%;上年同期业绩:净利润101276.17万元,基本每股收益0.0456元;",1260000000.0,1160000000.0,17,600157
603381.SH,永臻股份,25.93,-2.482,198000000.0,预增,169977600.0,16.49,20240606,"　　销售收入方面：基于2024年1-3月光伏行业的整体经营情况、公开市场铝价情况、发行人预计产能释放情况及光伏边框出货量情况，发行人预计2024年1-6月营业收入较2023年1-6月同比增长44.03%-72.84%。
　　净利润方面：基于发行人预计2024年二季度各大生产基地的产能释放情况、芜湖生产基地产能爬坡规模效应及良率回升，预计2024年1-6月发行人扣除非经常性损益后归属于母公司所有者的净利润较2023年1-6月同比变动-0.18%-19.78%。",预计2024-01-01到2024-06-30业绩：净利润18000.00万元至21600.00万元;增长幅度为5.90%至27.08%;上年同期业绩:净利润16997.76万元;,216000000.0,180000000.0,17,603381
